CustomerID,Tenure,MonthlyCharges,LoginFrequency,EngagementScore,SupportTickets,Churn
71,56,3630,23,17,8,1
72,66,3110,13,35,6,0
73,4,2316,8,87,1,0
74,1,1812,12,87,7,1
75,7,4421,22,20,3,1
76,53,3708,14,89,4,0
77,71,2096,0,47,7,1
78,3,2040,13,64,1,0
79,22,2007,22,61,6,0
80,8,1240,7,33,6,0
81,44,4018,5,2,1,1
82,21,220,20,62,2,0
83,31,3992,15,50,1,0
84,37,2202,26,99,6,0
85,8,1621,19,68,1,0
86,46,4097,27,73,1,0
87,69,2364,15,13,3,1
88,58,3012,13,58,2,0
89,14,1995,10,60,6,0
90,11,4402,8,75,7,1
91,24,2262,18,90,3,0
92,8,1959,22,82,0,0
93,25,3718,21,99,9,1
94,21,4334,5,29,9,1
95,33,1852,14,45,6,0
96,13,4028,22,11,5,1
97,66,4178,6,38,1,0
98,61,4037,4,29,6,1
99,25,2360,1,56,7,1
100,3,245,0,6,9,1
101,11,2910,19,72,6,0
102,55,2460,1,81,5,1
103,71,1279,3,72,8,1
104,67,2513,27,57,2,0
105,49,519,29,25,5,0
106,55,4252,3,20,9,1
107,16,4723,10,17,3,1
108,6,3351,13,26,1,0
109,18,4343,28,47,9,1
110,43,4856,3,38,3,1
111,21,118,8,4,2,1
112,49,4204,3,82,6,1
113,23,2092,20,25,9,1
114,14,2416,28,84,6,0
115,54,2808,28,92,9,1
116,11,2762,11,88,6,0
117,56,1375,17,60,4,0
118,62,1390,29,20,5,1
119,57,249,27,76,5,0
120,22,2818,28,36,0,0
121,26,2186,22,44,5,0
122,15,1768,27,92,4,0
123,14,4135,13,70,6,0
124,44,1036,3,26,3,1
125,7,1393,5,57,4,0
126,57,3293,22,13,0,1
127,60,3776,14,79,0,0
128,16,3861,4,8,9,1
129,25,486,17,74,3,0
130,10,2425,3,32,4,1
131,67,2992,5,58,7,1
132,54,2767,16,51,7,1
133,70,3083,27,62,5,0
134,37,508,17,89,7,1
135,22,1423,9,59,9,1
136,41,2266,0,64,4,1
137,50,4191,3,52,2,1
138,48,3849,17,49,6,0
139,41,1187,1,98,2,1
140,46,4081,14,70,6,0
141,17,4256,9,1,5,1
142,29,2431,3,14,3,1
143,46,3676,13,91,7,1
144,68,4815,11,70,5,0
145,67,1802,19,45,9,1
146,47,2463,28,99,9,1
147,1,4152,4,42,9,1
148,30,362,1,56,6,1
149,64,4660,8,22,2,1
150,36,1446,21,70,4,0
151,54,1005,14,28,8,1
152,34,2156,1,46,9,1
153,3,257,3,37,6,1
154,49,912,22,61,0,0
155,55,4248,28,39,2,0
156,33,3387,28,74,7,1
157,29,814,8,53,7,1
158,56,262,2,72,7,1
159,32,273,20,88,5,0
160,29,3675,26,28,5,0
161,9,3072,8,69,5,0
162,33,4376,23,17,9,1
163,9,450,24,95,2,0
164,51,4604,26,34,9,1
165,42,4227,18,2,5,1
166,65,3390,8,91,3,0
167,25,2340,4,28,0,1
168,21,731,5,6,0,1
169,45,700,6,24,8,1
170,16,589,10,92,2,0
171,31,1022,19,95,3,0
172,15,4445,1,10,5,1
173,20,1684,18,85,3,0
174,27,4023,8,42,4,0
175,8,4285,14,38,1,0
176,54,4066,23,5,3,1
177,48,1709,14,25,0,0
178,61,3890,7,80,1,0
179,35,405,13,85,2,0
180,33,4415,5,35,5,0
181,20,4240,29,38,7,1
182,68,2959,11,76,8,1
183,25,4579,15,76,9,1
184,39,2228,28,26,6,0
185,48,3934,27,88,1,0
186,6,4212,21,29,9,1
187,64,1155,21,87,7,1
188,33,4744,18,52,7,1
189,43,374,15,87,9,1
190,67,4622,20,68,4,0
191,31,2099,20,25,2,0
192,18,2118,29,92,6,0
193,69,1097,22,62,6,0
194,65,529,17,41,6,0
195,61,832,5,36,1,0
196,18,400,23,67,4,0
197,40,1947,7,65,2,0
198,36,373,21,95,0,0
199,29,2881,24,72,5,0
200,23,2245,8,69,9,1
201,39,314,23,46,0,0
202,42,3010,26,35,9,1
203,71,1291,6,39,0,0
204,26,4522,25,81,3,0
205,49,3146,0,4,8,1
206,51,3918,15,41,2,0
207,63,1929,28,77,8,1
208,45,2110,11,66,8,1
209,55,1129,20,32,7,1
210,1,2090,12,54,6,0
211,17,4782,22,91,5,0
212,20,1883,1,17,2,1
213,10,213,29,64,8,1
214,52,1914,29,56,1,0
215,11,2281,5,16,8,1
216,69,1643,19,87,4,0
217,24,4157,5,1,4,1
218,15,2200,5,54,8,1
219,64,1332,0,69,1,1
220,22,4749,10,90,4,0
221,47,1144,12,43,1,0
222,4,1573,27,7,5,1
223,57,3970,1,88,5,1
224,47,2719,10,40,1,0
225,55,1616,24,31,8,1
226,15,4722,17,62,6,0
227,16,4481,29,20,0,1
228,26,3704,12,83,4,0
229,54,2116,7,73,0,0
230,59,2968,23,94,3,0
231,30,3069,19,45,9,1
232,45,361,18,71,4,0
233,38,4761,8,34,9,1
234,23,1131,21,28,8,1
235,55,729,23,66,1,0
236,13,4952,17,67,7,1
237,60,2997,25,61,0,0
238,27,1019,3,15,1,1
239,40,2043,17,4,6,1
240,44,2395,6,49,0,0
241,39,162,29,93,1,0
242,70,1027,15,97,1,0
243,34,2078,8,73,0,0
244,44,2310,1,55,0,1
245,27,2087,23,61,5,0
246,57,4204,21,89,2,0
247,70,4912,29,90,8,1
248,53,1142,29,25,5,0
249,28,3366,28,33,9,1
250,44,178,4,90,7,1
251,2,1321,27,9,2,1
252,27,476,2,34,9,1
253,31,1688,16,59,6,0
254,65,2768,19,17,2,1
255,23,1210,22,3,6,1
256,53,3434,8,30,1,0
257,4,705,10,4,5,1
258,71,310,14,68,8,1
259,13,1037,15,45,4,0
260,40,3012,22,11,8,1
261,49,4546,16,52,7,1
262,62,2701,26,3,9,1
263,71,2274,19,37,1,0
264,14,4149,11,60,0,0
265,37,4776,20,95,4,0
266,24,3200,20,53,4,0
267,23,4645,28,62,7,1
268,67,3279,20,98,9,1
269,54,2950,13,80,8,1
270,10,3397,12,13,4,1
271,42,2532,6,10,0,1
272,58,704,13,32,2,0
273,12,922,9,48,2,0
274,37,393,2,60,4,1
275,17,4000,29,4,6,1
276,31,1628,0,31,3,1
277,58,3811,22,13,5,1
278,36,1897,26,87,2,0
279,42,1361,16,97,4,0
280,3,3159,9,47,1,0
281,37,778,9,76,8,1
282,47,834,15,62,1,0
283,28,3053,20,13,3,1
284,29,4317,15,93,8,1
285,3,3917,6,93,3,0
286,14,2174,18,96,6,0
287,42,3744,16,84,2,0
288,37,3024,2,95,8,1
289,41,1981,22,33,2,0
290,19,2084,21,48,0,0
291,39,3796,5,26,8,1
292,64,4107,29,96,3,0
293,47,3362,28,82,5,0
294,3,3825,18,14,0,1
295,29,1484,16,97,2,0
296,59,918,28,38,7,1
297,43,1055,22,53,8,1
298,27,266,12,22,8,1
299,22,3051,26,71,0,0
300,59,2942,15,46,5,0
301,17,4059,26,46,6,0
302,38,2341,3,55,6,1
303,12,2511,20,45,5,0
304,23,4286,16,92,8,1
305,7,2310,8,53,0,0
306,15,4789,13,78,3,0
307,36,4999,3,37,0,1
308,64,2826,29,29,6,0
309,33,1493,8,12,2,1
310,50,777,14,36,3,0
311,1,180,28,82,1,0
312,23,451,3,20,8,1
313,71,1471,14,47,6,0
314,37,721,19,11,5,1
315,19,2014,14,74,4,0
316,28,3124,21,66,3,0
317,29,4193,8,78,6,0
318,53,1026,10,74,4,0
319,51,3792,23,42,3,0
320,47,3986,12,67,1,0
321,8,1735,2,81,5,1
322,17,2395,10,88,9,1
323,30,4608,16,35,2,0
324,12,4783,27,47,9,1
325,62,1891,28,45,8,1
326,15,3648,26,19,2,1
327,31,2324,19,98,1,0
328,9,705,3,15,7,1
329,41,1197,24,42,5,0
330,49,343,23,98,0,0
331,31,3119,17,47,5,0
332,24,595,28,84,4,0
333,67,2141,19,58,6,0
334,65,2352,19,85,9,1
335,13,2550,12,3,1,1
336,18,2996,19,21,8,1
337,34,275,19,86,5,0
338,11,1691,7,12,5,1
339,29,2855,9,67,6,0
340,6,1475,19,78,2,0
341,6,4580,15,93,4,0
342,43,4175,5,4,1,1
343,53,4230,22,70,4,0
344,58,4362,2,1,3,1
345,57,282,27,23,0,1
346,11,1804,6,81,4,0
347,49,2446,17,16,0,1
348,20,1231,27,71,2,0
349,13,3870,2,85,3,1
350,26,1978,3,36,6,1
351,17,2932,22,65,9,1
352,5,1063,3,47,2,1
353,28,3377,24,76,9,1
354,51,2216,5,52,3,0
355,69,2350,1,3,7,1
356,4,383,12,54,1,0
357,59,1976,8,77,9,1
358,13,486,15,63,7,1
359,3,791,9,29,7,1
360,62,350,25,7,7,1
361,16,3786,23,72,7,1
362,13,580,28,4,1,1
363,19,2789,3,67,3,1
364,31,141,17,23,3,1
365,60,1932,15,98,5,0
366,6,851,28,88,0,0
367,17,2117,6,34,2,0
368,61,769,26,96,3,0
369,44,4138,2,65,6,1
370,32,2310,21,94,8,1
371,45,2072,26,60,8,1
372,25,3028,8,97,5,0
373,63,3413,27,9,2,1
374,22,2047,16,99,1,0
375,20,578,22,89,2,0
376,34,4176,17,21,0,1
377,5,1050,13,19,5,1
378,40,2421,9,5,1,1
379,68,2480,17,41,1,0
380,35,3615,2,43,0,1
381,35,4329,26,8,0,1
382,43,514,21,91,4,0
383,39,3025,9,94,6,0
384,49,1708,14,5,7,1
385,6,2727,4,53,6,1
386,9,1560,24,44,0,0
387,41,2434,19,96,4,0
388,70,914,24,46,4,0
389,6,397,25,88,6,0
390,8,1267,17,13,1,1
391,38,321,18,24,9,1
392,34,1877,27,78,4,0
393,28,538,7,65,5,0
394,52,3192,14,58,5,0
395,31,1056,27,49,6,0
396,44,604,8,55,9,1
397,47,1222,22,82,0,0
398,10,2870,25,13,3,1
399,68,963,11,15,8,1
400,4,3230,3,43,0,1
401,68,365,25,33,5,0
402,55,4759,13,36,5,0
403,64,4593,9,11,6,1
404,29,2130,17,92,1,0
405,38,3917,24,13,9,1
406,65,2985,15,4,3,1
407,38,1128,10,58,1,0
408,19,2281,15,24,0,1
409,71,329,25,2,1,1
410,53,1679,28,56,2,0
411,11,4572,2,98,0,1
412,33,1640,24,19,3,1
413,47,1689,11,84,5,0
414,64,1058,10,7,7,1
415,19,4032,23,41,5,0
416,37,2915,17,79,5,0
417,30,1526,17,23,4,1
418,40,4476,0,96,8,1
419,29,1988,25,9,7,1
420,55,279,9,38,7,1
421,30,2371,23,49,9,1
422,56,4626,8,27,9,1
423,28,3036,28,80,6,0
424,61,473,19,7,1,1
425,13,3203,20,53,2,0
426,18,2901,5,77,9,1
427,8,1815,21,34,4,0
428,57,2240,4,48,3,1
429,52,1165,12,59,7,1
430,33,2473,10,78,1,0
431,63,1328,4,28,2,1
432,52,4507,1,19,1,1
433,31,3771,8,57,0,0
434,23,1242,6,63,1,0
435,6,1657,20,5,0,1
436,23,1545,10,29,7,1
437,23,2770,13,92,1,0
438,19,3449,2,76,2,1
439,30,3851,28,2,6,1
440,19,2371,4,81,9,1
441,53,2981,15,90,2,0
442,32,973,7,23,6,1
443,50,4005,2,15,5,1
444,46,2685,20,93,4,0
445,52,3468,3,84,4,1
446,16,1819,13,71,6,0
447,49,1716,28,8,3,1
448,29,1199,15,69,5,0
449,28,1622,24,77,3,0
450,44,1761,5,5,9,1
451,20,3692,22,66,1,0
452,71,1230,13,42,4,0
453,12,3902,2,31,2,1
454,66,1230,11,18,1,1
455,16,1374,23,43,8,1
456,52,401,22,80,4,0
457,46,4494,28,38,0,0
458,64,3567,2,66,2,1
459,43,4077,17,82,2,0
460,23,1203,23,18,2,1
461,41,3319,9,4,0,1
462,45,1679,4,98,1,1
463,17,1378,1,69,3,1
464,18,4189,7,63,6,0
465,1,3335,7,64,1,0
466,15,4750,17,17,3,1
467,37,2133,5,81,3,0
468,27,214,10,31,1,0
469,33,994,0,71,1,1
470,2,4540,15,61,0,0
471,49,4342,28,41,4,0
472,23,3219,1,12,3,1
473,35,1324,28,37,6,0
474,22,3871,5,93,8,1
475,69,4174,26,36,4,0
476,68,1405,5,18,8,1
477,49,4215,13,32,4,0
478,19,662,9,18,7,1
479,12,4321,29,59,8,1
480,12,3284,2,60,6,1
481,53,3573,10,36,1,0
482,69,3475,21,68,6,0
483,46,2157,15,53,6,0
484,65,3516,3,80,9,1
485,41,3934,0,27,9,1
486,8,4969,25,79,0,0
487,8,3125,17,14,5,1
488,34,4312,18,42,4,0
489,59,1658,12,34,9,1
490,8,170,21,93,0,0
491,35,3965,5,73,0,0
492,5,2980,21,6,2,1
493,6,3608,4,26,3,1
494,62,2498,0,75,6,1
495,51,1950,11,20,8,1
496,46,885,8,89,4,0
497,22,4870,6,62,9,1
498,26,1692,26,51,2,0
499,2,1131,14,36,6,0
500,14,3982,25,56,7,1
501,39,1158,6,77,4,0
502,28,2430,15,4,3,1
503,39,4454,13,74,6,0
504,34,4508,9,21,1,1
505,2,2284,11,98,9,1
506,32,1700,24,15,1,1
507,39,4233,25,19,6,1
508,29,1359,6,51,9,1
509,32,3878,22,51,3,0
510,52,3204,13,26,9,1
511,67,3369,2,76,8,1
512,68,1049,20,5,0,1
513,33,642,18,62,1,0
514,33,3711,15,14,7,1
515,6,2421,2,70,1,1
516,1,4862,23,32,0,0
517,38,2658,26,96,6,0
518,44,2742,18,56,1,0
519,25,2633,0,53,6,1
520,17,686,21,96,7,1
521,42,1327,23,87,3,0
522,25,2077,8,9,2,1
523,22,3667,5,50,6,0
524,28,2590,18,91,1,0
525,47,230,2,10,4,1
526,36,4472,21,74,8,1
527,63,2928,0,62,5,1
528,69,4292,15,77,9,1
529,63,809,21,95,2,0
530,33,2545,12,87,8,1
531,46,4896,24,12,0,1
532,43,2195,9,40,5,0
533,58,3480,29,98,0,0
534,26,3122,8,24,8,1
535,33,145,22,78,9,1
536,34,4586,21,88,1,0
537,7,190,10,1,7,1
538,66,916,3,85,7,1
539,52,3879,17,92,3,0
540,32,2973,20,61,3,0
541,8,3477,19,40,3,0
542,14,4077,29,45,4,0
543,4,2889,27,52,2,0
544,29,4219,4,9,1,1
545,16,1186,15,3,0,1
546,30,226,19,25,4,0
547,67,3472,7,83,3,0
548,62,4338,13,48,6,0
549,59,4647,28,63,9,1
550,35,1229,28,11,2,1
551,31,2862,16,41,2,0
552,58,4343,24,5,1,1
553,50,2479,2,58,3,1
554,47,4628,5,38,6,0
555,42,3859,5,53,5,0
556,21,4360,7,55,3,0
557,41,3441,9,35,7,1
558,51,3355,23,40,0,0
559,5,608,2,77,2,1
560,10,1100,20,2,9,1
561,1,3835,24,94,1,0
562,22,3479,11,91,3,0
563,22,1956,21,67,6,0
564,34,772,16,69,2,0
565,39,1527,14,84,9,1
566,38,3336,1,57,3,1
567,44,1917,23,94,6,0
568,34,3577,15,98,5,0
569,42,3960,19,92,3,0
570,70,1875,8,99,2,0
571,71,2519,27,1,6,1
572,24,4233,13,90,8,1
573,40,4717,17,5,5,1
574,32,2500,26,84,5,0
575,38,3623,5,11,9,1
576,39,3850,17,46,6,0
577,57,2051,2,58,9,1
578,29,3792,28,9,8,1
579,37,1709,27,73,9,1
580,67,4194,11,33,3,0
581,11,4280,3,84,3,1
582,1,449,24,66,7,1
583,17,1368,16,24,8,1
584,31,4783,21,64,4,0
585,4,1470,17,67,4,0
586,60,2082,7,63,0,0
587,54,2128,14,72,9,1
588,70,4959,27,48,9,1
589,50,1384,23,90,1,0
590,47,4376,9,93,2,0
591,28,2824,14,40,1,0
592,34,2543,10,44,0,0
593,69,3203,29,22,5,1
594,40,240,9,62,0,0
595,33,1021,24,8,8,1
596,8,2922,14,86,2,0
597,34,2179,23,47,7,1
598,63,714,16,36,3,0
599,15,4467,1,80,3,1
600,44,1220,4,44,0,1
601,62,3123,10,18,3,1
602,37,1143,13,19,4,1
603,13,3839,21,48,9,1
604,54,2165,8,40,3,0
605,27,3770,12,80,9,1
606,13,2124,20,3,3,1
607,26,819,25,94,4,0
608,2,807,14,22,8,1
609,42,1229,20,47,2,0
610,56,3396,17,9,4,1
611,56,563,18,2,3,1
612,65,3151,15,67,6,0
613,16,2581,18,8,1,1
614,41,403,14,77,3,0
615,61,1428,26,2,3,1
616,71,2430,10,46,8,1
617,50,1182,15,71,2,0
618,51,4881,13,2,7,1
619,33,1385,6,65,8,1
620,21,2631,1,92,5,1
621,53,3288,24,61,2,0
622,39,2075,4,24,5,1
623,66,3497,26,13,4,1
624,58,4355,1,11,3,1
625,53,926,25,72,9,1
626,20,1190,6,26,1,0
627,65,4807,20,63,5,0
628,43,689,13,10,7,1
629,48,1786,25,68,6,0
630,22,1423,25,15,4,1
631,2,2445,21,44,5,0
632,39,4476,1,33,7,1
633,13,3636,13,71,7,1
634,19,1835,24,91,7,1
635,40,1543,19,21,8,1
636,16,2766,4,26,3,1
637,38,4261,5,56,9,1
638,37,2499,10,32,8,1
639,2,1020,7,65,6,0
640,33,3307,26,39,1,0
641,31,1690,5,23,3,1
642,8,2750,13,32,7,1
643,51,1800,8,63,4,0
644,51,2312,11,45,4,0
645,33,2220,25,20,9,1
646,44,981,23,3,4,1
647,42,3448,5,13,0,1
648,70,3435,20,18,4,1
649,2,679,4,92,0,1
650,52,1057,23,84,8,1
651,31,1469,21,68,2,0
652,50,2131,2,11,2,1
653,22,3852,7,18,4,1
654,19,3581,3,60,5,1
655,47,1872,23,14,9,1
656,45,2987,20,85,5,0
657,10,2431,3,27,7,1
658,5,677,18,7,0,1
659,64,4558,18,57,7,1
660,24,1435,27,61,2,0
661,60,1569,24,12,5,1
662,65,212,11,51,2,0
663,32,2072,26,67,0,0
664,2,2949,21,56,8,1
665,69,3014,15,3,8,1
666,55,2558,26,32,6,0
667,26,154,0,23,1,1
668,28,3496,24,1,6,1
669,57,3848,18,67,4,0
670,9,4837,20,98,6,0
671,56,2023,0,93,5,1
672,47,2748,22,98,4,0
673,50,4981,27,67,9,1
674,12,963,23,87,0,0
675,9,2632,17,86,8,1
676,62,4539,5,88,8,1
677,24,1402,23,60,5,0
678,6,1662,18,69,3,0
679,43,1262,22,6,0,1
680,47,1606,27,67,8,1
681,22,444,9,49,1,0
682,52,3136,14,59,6,0
683,43,2253,4,86,8,1
684,14,2722,20,43,1,0
685,19,489,25,34,8,1
686,24,510,28,93,6,0
687,46,3823,22,61,6,0
688,53,4017,28,67,2,0
689,34,2725,9,88,1,0
690,55,4547,22,37,8,1
691,15,2401,0,14,5,1
692,58,1187,21,48,8,1
693,62,1261,26,91,8,1
694,41,3904,1,71,8,1
695,66,586,29,49,4,0
696,23,2571,17,50,1,0
697,3,4183,29,23,6,1
698,2,1033,18,32,4,0
699,52,4463,22,66,4,0
700,63,4130,2,22,3,1
701,49,2271,2,22,0,1
702,1,1502,13,9,7,1
703,43,1322,22,86,9,1
704,40,133,25,60,4,0
705,4,3332,12,35,5,0
706,58,467,7,78,9,1
707,44,2358,20,14,8,1
708,54,1009,22,65,1,0
709,44,204,11,6,8,1
710,60,3590,25,67,8,1
711,67,117,26,99,7,1
712,6,2671,8,64,4,0
713,27,3743,21,21,6,1
714,68,1715,19,80,9,1
715,32,655,3,8,5,1
716,12,1006,5,72,9,1
717,4,3231,0,89,4,1
718,55,2763,2,77,2,1
719,2,201,3,21,4,1
720,14,257,5,13,8,1
721,60,2287,11,65,9,1
722,57,205,12,97,1,0
723,9,4632,0,90,4,1
724,39,3405,28,78,9,1
725,5,1640,13,95,1,0
726,71,1449,18,81,8,1
727,6,1273,4,74,8,1
728,60,181,20,13,7,1
729,32,855,16,9,0,1
730,8,3544,4,92,7,1
731,67,3471,28,46,2,0
732,33,708,27,32,7,1
733,47,3356,21,27,5,0
734,45,1096,28,7,7,1
735,65,2900,0,61,1,1
736,38,853,23,9,7,1
737,48,2968,21,17,4,1
738,16,3628,12,74,5,0
739,66,395,16,74,7,1
740,53,4263,10,38,2,0
741,70,3865,11,42,7,1
742,67,1110,21,99,2,0
743,29,2982,18,97,6,0
744,20,2162,14,78,2,0
745,18,1722,15,19,1,1
746,6,4055,25,42,2,0
747,11,2715,26,59,9,1
748,30,2316,6,53,2,0
749,18,2928,11,83,3,0
750,47,498,8,60,4,0
751,8,3126,25,61,8,1
752,18,257,12,89,2,0
753,62,2832,23,65,1,0
754,65,4326,10,19,3,1
755,8,1615,16,5,0,1
756,30,332,7,40,8,1
757,56,3743,7,39,3,0
758,29,3787,19,4,3,1
759,44,2380,10,49,8,1
760,56,344,15,58,6,0
761,6,2410,19,79,8,1
762,51,1341,21,84,5,0
763,64,3122,16,49,7,1
764,53,1483,3,4,7,1
765,35,4446,19,42,3,0
766,38,1465,7,7,6,1
767,55,2875,17,70,1,0
768,5,2034,3,3,0,1
769,44,1726,12,61,8,1
770,12,4078,2,56,4,1
771,30,1298,6,41,7,1
772,33,3309,28,14,5,1
773,51,730,4,27,1,1
774,52,1265,9,93,1,0
775,43,2854,6,54,1,0
776,24,780,2,92,4,1
777,44,778,8,56,2,0
778,29,259,6,86,7,1
779,65,2492,7,40,2,0
780,59,739,10,82,8,1
781,52,4519,9,64,8,1
782,23,1137,13,65,4,0
783,11,1136,16,6,8,1
784,32,2831,3,27,9,1
785,10,1648,17,43,8,1
786,7,2781,6,26,2,0
787,31,1189,4,5,3,1
788,68,4006,9,98,3,0
789,19,4668,25,35,3,0
790,13,2560,22,17,3,1
791,66,723,11,28,8,1
792,54,4445,22,10,7,1
793,43,1049,25,87,4,0
794,7,2170,9,20,4,1
795,10,2459,11,11,0,1
796,37,1082,13,13,2,1
797,60,4039,17,33,9,1
798,9,4792,26,64,2,0
799,54,2071,8,73,8,1
800,19,1128,9,7,9,1
801,22,2382,3,99,0,1
802,68,3017,13,3,6,1
803,15,2732,29,82,3,0
804,21,103,25,22,1,1
805,10,4089,16,42,5,0
806,43,4955,4,29,1,1
807,67,4435,4,48,4,1
808,21,2537,2,55,2,1
809,17,1445,14,95,7,1
810,59,634,13,6,5,1
811,43,2606,10,62,4,0
812,36,664,24,13,6,1
813,29,4489,8,22,9,1
814,35,3856,11,44,0,0
815,45,4739,25,85,2,0
816,9,3789,15,80,7,1
817,31,4433,29,46,0,0
818,65,1207,14,40,4,0
819,19,4755,26,75,6,0
820,39,4418,26,71,8,1
821,12,2238,1,24,2,1
822,57,2771,24,1,8,1
823,53,248,18,69,0,0
824,69,4614,6,33,0,0
825,26,584,12,26,4,0
826,70,1773,12,18,8,1
827,32,1882,8,53,0,0
828,60,2771,25,55,1,0
829,63,927,0,62,4,1
830,30,4493,27,34,9,1
831,67,2026,8,44,1,0
832,33,4720,29,71,1,0
833,61,734,28,22,4,1
834,28,101,27,25,0,0
835,69,1774,15,87,7,1
836,39,3603,2,96,2,1
837,61,2873,17,26,8,1
838,10,2871,20,87,6,0
839,68,3229,13,66,4,0
840,64,3899,27,92,5,0
841,21,4681,27,46,8,1
842,36,628,27,24,6,1
843,56,1363,21,68,0,0
844,29,593,24,11,8,1
845,46,4519,24,12,8,1
846,57,4722,19,56,2,0
847,52,4360,5,18,3,1
848,5,4236,23,72,0,0
849,32,1147,20,41,3,0
850,53,3756,21,65,8,1
851,39,1934,10,93,7,1
852,71,694,21,35,1,0
853,27,4495,11,29,6,0
854,58,2302,22,15,6,1
855,31,3450,9,53,2,0
856,65,875,17,72,3,0
857,39,2279,28,77,2,0
858,19,2186,14,50,6,0
859,42,4154,12,52,0,0
860,58,179,4,70,7,1
861,49,1934,12,20,6,1
862,43,1904,27,63,1,0
863,53,3858,1,24,8,1
864,23,4217,2,59,4,1
865,65,1202,0,1,6,1
866,71,4368,27,33,6,0
867,62,4620,3,21,2,1
868,61,2538,9,45,4,0
869,28,3833,20,57,4,0
870,1,4730,23,42,2,0
871,27,4247,18,70,3,0
872,51,3875,15,58,9,1
873,21,4893,6,65,0,0
874,27,2633,9,17,3,1
875,66,3904,13,31,7,1
876,19,2207,6,40,0,0
877,61,1219,12,90,4,0
878,60,3905,0,50,7,1
879,63,714,14,30,4,0
880,39,610,27,18,0,1
881,24,1090,7,53,6,0
882,69,686,29,28,8,1
883,70,4805,2,20,8,1
884,62,613,22,50,9,1
885,67,4063,8,84,9,1
886,20,4840,22,51,1,0
887,37,2624,11,8,9,1
888,18,2842,7,18,3,1
889,22,3744,9,66,5,0
890,27,790,27,19,8,1
891,33,4704,24,73,7,1
892,9,771,22,79,4,0
893,9,2552,19,44,9,1
894,21,1162,25,4,3,1
895,69,749,22,38,2,0
896,55,4394,19,81,6,0
897,24,486,26,10,7,1
898,14,3081,24,65,6,0
899,12,821,26,87,6,0
900,43,4471,12,15,3,1
901,11,1464,22,82,1,0
902,25,4500,11,47,9,1
903,48,130,27,40,3,0
904,69,223,29,91,9,1
905,44,1440,2,43,3,1
906,14,175,25,39,8,1
907,7,3089,9,42,0,0
908,3,3452,26,17,2,1
909,68,1537,1,95,3,1
910,5,1501,9,10,8,1
911,29,2236,5,86,4,0
912,36,1476,8,42,5,0
913,47,3309,21,56,7,1
914,7,4285,29,25,5,0
915,21,145,21,2,5,1
916,24,1741,5,52,7,1
917,64,3676,20,3,4,1
918,7,2532,12,67,4,0
919,22,1075,5,68,5,0
920,65,446,11,83,0,0
921,51,4182,29,43,4,0
922,10,618,8,10,8,1
923,68,343,5,60,4,0
924,34,378,19,20,8,1
925,9,2312,2,61,5,1
926,52,2567,23,83,4,0
927,34,3092,17,65,6,0
928,62,1583,20,39,1,0
929,8,2893,8,19,0,1
930,60,3531,25,87,0,0
931,42,2107,25,69,4,0
932,28,246,10,14,8,1
933,52,4158,11,43,0,0
934,41,1422,29,40,5,0
935,46,647,9,63,4,0
936,10,4600,16,7,1,1
937,47,2694,29,38,5,0
938,59,3966,21,66,0,0
